Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/outputs//photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/photometry_catalog.hdf5, BPZliteEstimator
Process 24 running estimator on chunk 240000 - 250000
Inserting handle into data store.  output: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/outputs/inprogress_source_photoz_pdfs.hdf5, BPZliteEstimator
Process 24 running estimator on chunk 540000 - 550000
Process 24 running estimator on chunk 840000 - 850000
Process 24 running estimator on chunk 1140000 - 1150000
Process 24 running estimator on chunk 1440000 - 1450000
Process 24 running estimator on chunk 1740000 - 1750000
Process 24 running estimator on chunk 2040000 - 2050000
Process 24 running estimator on chunk 2340000 - 2350000
Process 24 running estimator on chunk 2640000 - 2650000
Process 24 running estimator on chunk 2940000 - 2950000
Process 24 running estimator on chunk 3240000 - 3250000
Process 24 running estimator on chunk 3540000 - 3550000
Process 24 running estimator on chunk 3840000 - 3850000
Process 24 running estimator on chunk 4140000 - 4150000
Process 24 running estimator on chunk 4440000 - 4450000
Process 24 running estimator on chunk 4740000 - 4750000
Process 24 running estimator on chunk 5040000 - 5050000
Process 24 running estimator on chunk 5340000 - 5350000
Process 24 running estimator on chunk 5640000 - 5650000
Process 24 running estimator on chunk 5940000 - 5950000
Process 24 running estimator on chunk 6240000 - 6250000
Process 24 running estimator on chunk 6540000 - 6550000
Process 24 running estimator on chunk 6840000 - 6850000
Process 24 running estimator on chunk 7140000 - 7150000
Process 24 running estimator on chunk 7440000 - 7450000
Process 24 running estimator on chunk 7740000 - 7750000
Process 24 running estimator on chunk 8040000 - 8050000
Process 24 running estimator on chunk 8340000 - 8350000
Process 24 running estimator on chunk 8640000 - 8650000
Process 24 running estimator on chunk 8940000 - 8950000
Process 24 running estimator on chunk 9240000 - 9250000
Process 24 running estimator on chunk 9540000 - 9550000
Process 24 running estimator on chunk 9840000 - 9850000
Process 24 running estimator on chunk 10140000 - 10150000
Process 24 running estimator on chunk 10440000 - 10450000
Process 24 running estimator on chunk 10740000 - 10750000
Process 24 running estimator on chunk 11040000 - 11050000
Process 24 running estimator on chunk 11340000 - 11350000
Process 24 running estimator on chunk 11640000 - 11650000
Process 24 running estimator on chunk 11940000 - 11950000
Process 24 running estimator on chunk 12240000 - 12250000
Process 24 running estimator on chunk 12540000 - 12550000
Process 24 running estimator on chunk 12840000 - 12850000
Process 24 running estimator on chunk 13140000 - 13150000
Process 24 running estimator on chunk 13440000 - 13450000
Process 24 running estimator on chunk 13740000 - 13750000
Process 24 running estimator on chunk 14040000 - 14050000
Process 24 running estimator on chunk 14340000 - 14350000
Process 24 running estimator on chunk 14640000 - 14650000
Process 24 running estimator on chunk 14940000 - 14950000
Process 24 running estimator on chunk 15240000 - 15250000
Process 24 running estimator on chunk 15540000 - 15550000
Process 24 running estimator on chunk 15840000 - 15850000
Process 24 running estimator on chunk 16140000 - 16150000
Process 24 running estimator on chunk 16440000 - 16450000
Process 24 running estimator on chunk 16740000 - 16750000
Process 24 running estimator on chunk 17040000 - 17050000
Process 24 running estimator on chunk 17340000 - 17350000
Process 24 running estimator on chunk 17640000 - 17650000
Process 24 running estimator on chunk 17940000 - 17950000
Process 24 running estimator on chunk 18240000 - 18250000
Process 24 running estimator on chunk 18540000 - 18550000
Process 24 running estimator on chunk 18840000 - 18850000
Process 24 running estimator on chunk 19140000 - 19150000
Process 24 running estimator on chunk 19440000 - 19450000
Process 24 running estimator on chunk 19740000 - 19750000
Process 24 running estimator on chunk 20040000 - 20050000
Process 24 running estimator on chunk 20340000 - 20350000
Process 24 running estimator on chunk 20640000 - 20650000
Process 24 running estimator on chunk 20940000 - 20950000
Process 24 running estimator on chunk 21240000 - 21250000
Process 24 running estimator on chunk 21540000 - 21550000
Process 24 running estimator on chunk 21840000 - 21850000
Process 24 running estimator on chunk 22140000 - 22150000
Process 24 running estimator on chunk 22440000 - 22450000
Process 24 running estimator on chunk 22740000 - 22750000
Process 24 running estimator on chunk 23040000 - 23050000
Process 24 running estimator on chunk 23340000 - 23350000
Process 24 running estimator on chunk 23640000 - 23650000
Process 24 running estimator on chunk 23940000 - 23950000
Process 24 running estimator on chunk 24240000 - 24250000
Process 24 running estimator on chunk 24540000 - 24550000
Process 24 running estimator on chunk 24840000 - 24850000
Process 24 running estimator on chunk 25140000 - 25150000
Process 24 running estimator on chunk 25440000 - 25450000
Process 24 running estimator on chunk 25740000 - 25750000
Process 24 running estimator on chunk 26040000 - 26050000
Process 24 running estimator on chunk 26340000 - 26350000
Process 24 running estimator on chunk 26640000 - 26650000
Process 24 running estimator on chunk 26940000 - 26950000
Process 24 running estimator on chunk 27240000 - 27250000
Process 24 running estimator on chunk 27540000 - 27550000
Process 24 running estimator on chunk 27840000 - 27850000
Process 24 running estimator on chunk 28140000 - 28150000
Process 24 running estimator on chunk 28440000 - 28450000
Process 24 running estimator on chunk 28740000 - 28750000
Process 24 running estimator on chunk 29040000 - 29050000
Process 24 running estimator on chunk 29340000 - 29350000
Process 24 running estimator on chunk 29640000 - 29650000
Process 24 running estimator on chunk 29940000 - 29950000
Process 24 running estimator on chunk 30240000 - 30250000
Process 24 running estimator on chunk 30540000 - 30550000
Process 24 running estimator on chunk 30840000 - 30850000
Process 24 running estimator on chunk 31140000 - 31150000
Process 24 running estimator on chunk 31440000 - 31450000
Process 24 running estimator on chunk 31740000 - 31750000
Process 24 running estimator on chunk 32040000 - 32050000
Process 24 running estimator on chunk 32340000 - 32350000
Process 24 running estimator on chunk 32640000 - 32650000
Process 24 running estimator on chunk 32940000 - 32950000
Process 24 running estimator on chunk 33240000 - 33250000
Process 24 running estimator on chunk 33540000 - 33550000
Process 24 running estimator on chunk 33840000 - 33850000
Process 24 running estimator on chunk 34140000 - 34150000
Process 24 running estimator on chunk 34440000 - 34450000
Process 24 running estimator on chunk 34740000 - 34750000
Process 24 running estimator on chunk 35040000 - 35050000
Process 24 running estimator on chunk 35340000 - 35350000
Process 24 running estimator on chunk 35640000 - 35650000
Process 24 running estimator on chunk 35940000 - 35950000
Process 24 running estimator on chunk 36240000 - 36250000
Process 24 running estimator on chunk 36540000 - 36550000
Process 24 running estimator on chunk 36840000 - 36850000
Process 24 running estimator on chunk 37140000 - 37150000
Process 24 running estimator on chunk 37440000 - 37450000
Process 24 running estimator on chunk 37740000 - 37750000
Process 24 running estimator on chunk 38040000 - 38050000
Process 24 running estimator on chunk 38340000 - 38350000
Process 24 running estimator on chunk 38640000 - 38650000
Process 24 running estimator on chunk 38940000 - 38950000
Process 24 running estimator on chunk 39240000 - 39250000
Process 24 running estimator on chunk 39540000 - 39550000
Process 24 running estimator on chunk 39840000 - 39850000
Process 24 running estimator on chunk 40140000 - 40150000
Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/outputs//photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/photometry_catalog.hdf5, BPZliteEstimator
Process 16 running estimator on chunk 160000 - 170000
Inserting handle into data store.  output: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/outputs/inprogress_source_photoz_pdfs.hdf5, BPZliteEstimator
Process 16 running estimator on chunk 460000 - 470000
Process 16 running estimator on chunk 760000 - 770000
Process 16 running estimator on chunk 1060000 - 1070000
Process 16 running estimator on chunk 1360000 - 1370000
Process 16 running estimator on chunk 1660000 - 1670000
Process 16 running estimator on chunk 1960000 - 1970000
Process 16 running estimator on chunk 2260000 - 2270000
Process 16 running estimator on chunk 2560000 - 2570000
Process 16 running estimator on chunk 2860000 - 2870000
Process 16 running estimator on chunk 3160000 - 3170000
Process 16 running estimator on chunk 3460000 - 3470000
Process 16 running estimator on chunk 3760000 - 3770000
Process 16 running estimator on chunk 4060000 - 4070000
Process 16 running estimator on chunk 4360000 - 4370000
Process 16 running estimator on chunk 4660000 - 4670000
Process 16 running estimator on chunk 4960000 - 4970000
Process 16 running estimator on chunk 5260000 - 5270000
Process 16 running estimator on chunk 5560000 - 5570000
Process 16 running estimator on chunk 5860000 - 5870000
Process 16 running estimator on chunk 6160000 - 6170000
Process 16 running estimator on chunk 6460000 - 6470000
Process 16 running estimator on chunk 6760000 - 6770000
Process 16 running estimator on chunk 7060000 - 7070000
Process 16 running estimator on chunk 7360000 - 7370000
Process 16 running estimator on chunk 7660000 - 7670000
Process 16 running estimator on chunk 7960000 - 7970000
Process 16 running estimator on chunk 8260000 - 8270000
Process 16 running estimator on chunk 8560000 - 8570000
Process 16 running estimator on chunk 8860000 - 8870000
Process 16 running estimator on chunk 9160000 - 9170000
Process 16 running estimator on chunk 9460000 - 9470000
Process 16 running estimator on chunk 9760000 - 9770000
Process 16 running estimator on chunk 10060000 - 10070000
Process 16 running estimator on chunk 10360000 - 10370000
Process 16 running estimator on chunk 10660000 - 10670000
Process 16 running estimator on chunk 10960000 - 10970000
Process 16 running estimator on chunk 11260000 - 11270000
Process 16 running estimator on chunk 11560000 - 11570000
Process 16 running estimator on chunk 11860000 - 11870000
Process 16 running estimator on chunk 12160000 - 12170000
Process 16 running estimator on chunk 12460000 - 12470000
Process 16 running estimator on chunk 12760000 - 12770000
Process 16 running estimator on chunk 13060000 - 13070000
Process 16 running estimator on chunk 13360000 - 13370000
Process 16 running estimator on chunk 13660000 - 13670000
Process 16 running estimator on chunk 13960000 - 13970000
Process 16 running estimator on chunk 14260000 - 14270000
Process 16 running estimator on chunk 14560000 - 14570000
Process 16 running estimator on chunk 14860000 - 14870000
Process 16 running estimator on chunk 15160000 - 15170000
Process 16 running estimator on chunk 15460000 - 15470000
Process 16 running estimator on chunk 15760000 - 15770000
Process 16 running estimator on chunk 16060000 - 16070000
Process 16 running estimator on chunk 16360000 - 16370000
Process 16 running estimator on chunk 16660000 - 16670000
Process 16 running estimator on chunk 16960000 - 16970000
Process 16 running estimator on chunk 17260000 - 17270000
Process 16 running estimator on chunk 17560000 - 17570000
Process 16 running estimator on chunk 17860000 - 17870000
Process 16 running estimator on chunk 18160000 - 18170000
Process 16 running estimator on chunk 18460000 - 18470000
Process 16 running estimator on chunk 18760000 - 18770000
Process 16 running estimator on chunk 19060000 - 19070000
Process 16 running estimator on chunk 19360000 - 19370000
Process 16 running estimator on chunk 19660000 - 19670000
Process 16 running estimator on chunk 19960000 - 19970000
Process 16 running estimator on chunk 20260000 - 20270000
Process 16 running estimator on chunk 20560000 - 20570000
Process 16 running estimator on chunk 20860000 - 20870000
Process 16 running estimator on chunk 21160000 - 21170000
Process 16 running estimator on chunk 21460000 - 21470000
Process 16 running estimator on chunk 21760000 - 21770000
Process 16 running estimator on chunk 22060000 - 22070000
Process 16 running estimator on chunk 22360000 - 22370000
Process 16 running estimator on chunk 22660000 - 22670000
Process 16 running estimator on chunk 22960000 - 22970000
Process 16 running estimator on chunk 23260000 - 23270000
Process 16 running estimator on chunk 23560000 - 23570000
Process 16 running estimator on chunk 23860000 - 23870000
Process 16 running estimator on chunk 24160000 - 24170000
Process 16 running estimator on chunk 24460000 - 24470000
Process 16 running estimator on chunk 24760000 - 24770000
Process 16 running estimator on chunk 25060000 - 25070000
Process 16 running estimator on chunk 25360000 - 25370000
Process 16 running estimator on chunk 25660000 - 25670000
Process 16 running estimator on chunk 25960000 - 25970000
Process 16 running estimator on chunk 26260000 - 26270000
Process 16 running estimator on chunk 26560000 - 26570000
Process 16 running estimator on chunk 26860000 - 26870000
Process 16 running estimator on chunk 27160000 - 27170000
Process 16 running estimator on chunk 27460000 - 27470000
Process 16 running estimator on chunk 27760000 - 27770000
Process 16 running estimator on chunk 28060000 - 28070000
Process 16 running estimator on chunk 28360000 - 28370000
Process 16 running estimator on chunk 28660000 - 28670000
