Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/full/shear_catalog.hdf5, BPZliteEstimator
Process 14 running estimator on chunk 140000 - 150000
Inserting handle into data store.  output: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/inprogress_source_photoz_pdfs.hdf5, BPZliteEstimator
Process 14 running estimator on chunk 440000 - 450000
Process 14 running estimator on chunk 740000 - 750000
Process 14 running estimator on chunk 1040000 - 1050000
Process 14 running estimator on chunk 1340000 - 1350000
Process 14 running estimator on chunk 1640000 - 1650000
Process 14 running estimator on chunk 1940000 - 1950000
Process 14 running estimator on chunk 2240000 - 2250000
Process 14 running estimator on chunk 2540000 - 2550000
Process 14 running estimator on chunk 2840000 - 2850000
Process 14 running estimator on chunk 3140000 - 3150000
Process 14 running estimator on chunk 3440000 - 3450000
Process 14 running estimator on chunk 3740000 - 3750000
Process 14 running estimator on chunk 4040000 - 4050000
Process 14 running estimator on chunk 4340000 - 4350000
Process 14 running estimator on chunk 4640000 - 4650000
Process 14 running estimator on chunk 4940000 - 4950000
Process 14 running estimator on chunk 5240000 - 5250000
Process 14 running estimator on chunk 5540000 - 5550000
Process 14 running estimator on chunk 5840000 - 5850000
Process 14 running estimator on chunk 6140000 - 6150000
Process 14 running estimator on chunk 6440000 - 6450000
Process 14 running estimator on chunk 6740000 - 6750000
Process 14 running estimator on chunk 7040000 - 7050000
Process 14 running estimator on chunk 7340000 - 7350000
Process 14 running estimator on chunk 7640000 - 7650000
Process 14 running estimator on chunk 7940000 - 7950000
Process 14 running estimator on chunk 8240000 - 8250000
Process 14 running estimator on chunk 8540000 - 8550000
Process 14 running estimator on chunk 8840000 - 8850000
Process 14 running estimator on chunk 9140000 - 9150000
Process 14 running estimator on chunk 9440000 - 9450000
Process 14 running estimator on chunk 9740000 - 9750000
Process 14 running estimator on chunk 10040000 - 10050000
Process 14 running estimator on chunk 10340000 - 10350000
Process 14 running estimator on chunk 10640000 - 10650000
Process 14 running estimator on chunk 10940000 - 10950000
Process 14 running estimator on chunk 11240000 - 11250000
Process 14 running estimator on chunk 11540000 - 11550000
Process 14 running estimator on chunk 11840000 - 11850000
Process 14 running estimator on chunk 12140000 - 12150000
Process 14 running estimator on chunk 12440000 - 12450000
Process 14 running estimator on chunk 12740000 - 12750000
Process 14 running estimator on chunk 13040000 - 13050000
Process 14 running estimator on chunk 13340000 - 13350000
Process 14 running estimator on chunk 13640000 - 13650000
Process 14 running estimator on chunk 13940000 - 13950000
Process 14 running estimator on chunk 14240000 - 14250000
Process 14 running estimator on chunk 14540000 - 14550000
Process 14 running estimator on chunk 14840000 - 14850000
Process 14 running estimator on chunk 15140000 - 15150000
Process 14 running estimator on chunk 15440000 - 15450000
Process 14 running estimator on chunk 15740000 - 15750000
Process 14 running estimator on chunk 16040000 - 16050000
Process 14 running estimator on chunk 16340000 - 16350000
Process 14 running estimator on chunk 16640000 - 16650000
Process 14 running estimator on chunk 16940000 - 16950000
Process 14 running estimator on chunk 17240000 - 17250000
Process 14 running estimator on chunk 17540000 - 17550000
Process 14 running estimator on chunk 17840000 - 17850000
Process 14 running estimator on chunk 18140000 - 18150000
Process 14 running estimator on chunk 18440000 - 18450000
Process 14 running estimator on chunk 18740000 - 18750000
Process 14 running estimator on chunk 19040000 - 19050000
Process 14 running estimator on chunk 19340000 - 19350000
Process 14 running estimator on chunk 19640000 - 19650000
Process 14 running estimator on chunk 19940000 - 19950000
Process 14 running estimator on chunk 20240000 - 20250000
Process 14 running estimator on chunk 20540000 - 20550000
Process 14 running estimator on chunk 20840000 - 20850000
Process 14 running estimator on chunk 21140000 - 21150000
Process 14 running estimator on chunk 21440000 - 21450000
Process 14 running estimator on chunk 21740000 - 21750000
Process 14 running estimator on chunk 22040000 - 22050000
Process 14 running estimator on chunk 22340000 - 22350000
Process 14 running estimator on chunk 22640000 - 22650000
Process 14 running estimator on chunk 22940000 - 22950000
Process 14 running estimator on chunk 23240000 - 23250000
Process 14 running estimator on chunk 23540000 - 23550000
Process 14 running estimator on chunk 23840000 - 23850000
Process 14 running estimator on chunk 24140000 - 24150000
Process 14 running estimator on chunk 24440000 - 24450000
Process 14 running estimator on chunk 24740000 - 24750000
